,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
88,0.496,0.116,0,-12.147,1,0.0401,0.921,0.0,0.0883,0.362,109.826,audio_features,27r2uANqwK7XbsiAZnzf9e,spotify:track:27r2uANqwK7XbsiAZnzf9e,https://api.spotify.com/v1/tracks/27r2uANqwK7XbsiAZnzf9e,https://api.spotify.com/v1/audio-analysis/27r2uANqwK7XbsiAZnzf9e,202496,3
89,0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057,audio_features,6vc2Jq2vaGu8z326kSrw92,spotify:track:6vc2Jq2vaGu8z326kSrw92,https://api.spotify.com/v1/tracks/6vc2Jq2vaGu8z326kSrw92,https://api.spotify.com/v1/audio-analysis/6vc2Jq2vaGu8z326kSrw92,187133,4
90,0.428,0.244,2,-15.447,1,0.0269,0.953,0.000144,0.102,0.39,100.495,audio_features,44AyOl4qVkzS48vBsbNXaC,spotify:track:44AyOl4qVkzS48vBsbNXaC,https://api.spotify.com/v1/tracks/44AyOl4qVkzS48vBsbNXaC,https://api.spotify.com/v1/audio-analysis/44AyOl4qVkzS48vBsbNXaC,179773,3
91,0.829,0.582,7,-5.721,0,0.0415,0.525,0.0,0.0759,0.51,108.028,audio_features,6eSU1exzDvBEXmBRxspeh5,spotify:track:6eSU1exzDvBEXmBRxspeh5,https://api.spotify.com/v1/tracks/6eSU1exzDvBEXmBRxspeh5,https://api.spotify.com/v1/audio-analysis/6eSU1exzDvBEXmBRxspeh5,109373,4
92,0.493,0.643,0,-5.19,1,0.0299,0.512,2.42e-05,0.209,0.3,144.717,audio_features,3XKbdb9GB6u3hsnUklQTav,spotify:track:3XKbdb9GB6u3hsnUklQTav,https://api.spotify.com/v1/tracks/3XKbdb9GB6u3hsnUklQTav,https://api.spotify.com/v1/audio-analysis/3XKbdb9GB6u3hsnUklQTav,321640,4
93,0.667,0.818,8,-9.149,0,0.0594,0.00437,0.761,0.288,0.761,136.957,audio_features,0pMUR7Uvp6vxlbG0qBFvgM,spotify:track:0pMUR7Uvp6vxlbG0qBFvgM,https://api.spotify.com/v1/tracks/0pMUR7Uvp6vxlbG0qBFvgM,https://api.spotify.com/v1/audio-analysis/0pMUR7Uvp6vxlbG0qBFvgM,217573,4
94,0.744,0.62,0,-6.995,1,0.0558,0.176,0.0,0.101,0.701,123.032,audio_features,3uMigZrW9l9De8roOy6CAn,spotify:track:3uMigZrW9l9De8roOy6CAn,https://api.spotify.com/v1/tracks/3uMigZrW9l9De8roOy6CAn,https://api.spotify.com/v1/audio-analysis/3uMigZrW9l9De8roOy6CAn,219267,3
95,0.543,0.808,10,-5.484,1,0.0407,7.19e-05,0.00336,0.114,0.472,95.19,audio_features,4a9i7rCLfPjbS1sNamZeQN,spotify:track:4a9i7rCLfPjbS1sNamZeQN,https://api.spotify.com/v1/tracks/4a9i7rCLfPjbS1sNamZeQN,https://api.spotify.com/v1/audio-analysis/4a9i7rCLfPjbS1sNamZeQN,201667,4
96,0.65,0.283,9,-9.659,1,0.0332,0.848,0.912,0.195,0.275,77.028,audio_features,3LbbliB1ia5WfyFqwxF9pX,spotify:track:3LbbliB1ia5WfyFqwxF9pX,https://api.spotify.com/v1/tracks/3LbbliB1ia5WfyFqwxF9pX,https://api.spotify.com/v1/audio-analysis/3LbbliB1ia5WfyFqwxF9pX,149625,4
97,0.796,0.428,0,-8.408,1,0.0406,0.312,0.000683,0.0932,0.252,144.064,audio_features,3zYRfg6QfdBYuvTCeQyjVK,spotify:track:3zYRfg6QfdBYuvTCeQyjVK,https://api.spotify.com/v1/tracks/3zYRfg6QfdBYuvTCeQyjVK,https://api.spotify.com/v1/audio-analysis/3zYRfg6QfdBYuvTCeQyjVK,191421,4
